strain,chemical,concentration,experiment,replicate,auc,max_signal,min_signal,time_to_peak,initial_slope,final_signal,auc_zexp,max_signal_zexp,min_signal_zexp,time_to_peak_zexp,initial_slope_zexp,final_signal_zexp,auc_zstrain_exp,max_signal_zstrain_exp,min_signal_zstrain_exp,time_to_peak_zstrain_exp,initial_slope_zstrain_exp,final_signal_zstrain_exp
BL011,Metaldehyde,500.0,2.0,4.0,9582.5,49.0,0.0,150.0,-0.8,2.0,-0.4238634634322897,-0.7573757756633462,-0.38486958220845086,-0.35798947052483154,-0.6510024561835887,-0.25361960302668696,-0.5557112082756284,-0.5585943858706028,-0.5032138564901447,-0.3304922999822227,-0.4395373185214385,-0.36895317462829597
BL011,Metaldehyde,50.0,2.0,1.0,4857.5,24.0,0.0,155.0,-0.2,2.0,-0.42396884578053723,-0.7578766917593832,-0.38486958220845086,-0.3464301236292156,-0.6498674437980737,-0.25361960302668696,-0.5565829261735286,-0.560443419810296,-0.5032138564901447,-0.315688613532851,-0.43245625548251804,-0.36895317462829597
BL011,Metaldehyde,50.0,2.0,2.0,5937.5,33.0,0.0,170.0,0.2,1.0,-0.4239447583866521,-0.7576963619648099,-0.38486958220845086,-0.31175208294236795,-0.6491107688743971,-0.25364753989726463,-0.5563836763682942,-0.5597777675920065,-0.5032138564901447,-0.271277554184736,-0.42773554678990433,-0.3697086972466027
BL011,Metaldehyde,50.0,2.0,3.0,5992.5,31.0,0.0,165.0,-0.2,2.0,-0.4239435317138153,-0.7577364352524929,-0.38486958220845086,-0.32331142983798383,-0.6498674437980737,-0.25361960302668696,-0.5563735293874721,-0.559925690307182,-0.5032138564901447,-0.28608124063410767,-0.43245625548251804,-0.36895317462829597
BL011,Metaldehyde,50.0,2.0,4.0,10747.5,47.0,1.0,145.0,-0.2,3.0,-0.4238374802712932,-0.7574158489510292,-0.3846895827080359,-0.36954881742044743,-0.6498674437980737,-0.25359166615610923,-0.5554962767727599,-0.5587423085857783,-0.5016935346598161,-0.34529598643159437,-0.43245625548251804,-0.36819765200998916
BL011,Metaldehyde,5.0,2.0,1.0,4975.0,23.0,0.0,165.0,-1.0,1.0,-0.42396622516129506,-0.7578967284032246,-0.38486958220845086,-0.32331142983798383,-0.6513807936454269,-0.25364753989726463,-0.5565612485326813,-0.5605173811678837,-0.5032138564901447,-0.28608124063410767,-0.4418976728677454,-0.3697086972466027
BL011,Metaldehyde,5.0,2.0,2.0,5822.5,30.0,0.0,175.0,-0.4,1.0,-0.42394732324803797,-0.7577564718963343,-0.38486958220845086,-0.30019273604675206,-0.650245781259912,-0.25364753989726463,-0.5564048927827405,-0.5599996516647696,-0.5032138564901447,-0.2564738677353643,-0.43481660982882486,-0.3697086972466027
BL011,Metaldehyde,5.0,2.0,3.0,6417.5,36.0,0.0,175.0,0.4,1.0,-0.4239340528782587,-0.7576362520332854,-0.38486958220845086,-0.30019273604675206,-0.6487324314125589,-0.25364753989726463,-0.5562951208993012,-0.5595558835192433,-0.5032138564901447,-0.2564738677353643,-0.4253751924435975,-0.3697086972466027
BL011,Metaldehyde,5.0,2.0,4.0,11842.5,50.0,1.0,165.0,0.4,2.0,-0.4238130583302708,-0.7573557390195047,-0.3846895827080359,-0.32331142983798383,-0.6487324314125589,-0.25361960302668696,-0.5552942596091195,-0.5585204245130151,-0.5016935346598161,-0.28608124063410767,-0.4253751924435975,-0.36895317462829597
BL011,Metaldehyde,0.5,2.0,1.0,4690.0,20.0,0.0,235.0,-0.6,1.0,-0.42397258155690365,-0.7579568383347491,-0.38486958220845086,-0.1614805732993614,-0.6506241187217504,-0.25364753989726463,-0.5566138283423959,-0.560739265240647,-0.5032138564901447,-0.07882963034290418,-0.4371769641751317,-0.3697086972466027
BL011,Metaldehyde,0.5,2.0,2.0,5402.5,26.0,0.0,190.0,-0.2,2.0,-0.4239566905678822,-0.7578366184717003,-0.38486958220845086,-0.2655146953599044,-0.6498674437980737,-0.25361960302668696,-0.5564823788181094,-0.5602954970951206,-0.5032138564901447,-0.21206280838724928,-0.43245625548251804,-0.36895317462829597
BL011,Metaldehyde,0.5,2.0,3.0,6625.0,38.0,0.0,335.0,-0.2,2.0,-0.4239294249761928,-0.7575961787456025,-0.38486958220845086,0.06970636461295636,-0.6498674437980737,-0.25361960302668696,-0.5562568391080178,-0.5594079608040678,-0.5032138564901447,0.21724409864452934,-0.43245625548251804,-0.36895317462829597
