strain,chemical,concentration,experiment,replicate,auc,max_signal,min_signal,time_to_peak,initial_slope,final_signal
BL030,Boric Acid,0.05,5.0,2.0,27521910.0,29924.0,3373.0,295.0,158.0,10091.0
BL030,Boric Acid,0.05,5.0,3.0,30775230.0,32001.0,3401.0,290.0,165.8,12117.0
BL030,Boric Acid,0.05,5.0,4.0,46801232.5,55991.0,3444.0,700.0,194.6,25353.0
BL030,Diazinon,500.0,1.0,1.0,14145.0,22.0,5.0,0.0,-1.0,14.0
BL030,Diazinon,500.0,1.0,2.0,19897.5,44.0,4.0,60.0,0.8,7.0
BL030,Diazinon,500.0,1.0,3.0,1672137.5,3302.0,69.0,1440.0,1.2,3302.0
BL030,Diazinon,500.0,1.0,4.0,829840.0,951.0,336.0,485.0,2.0,362.0
BL030,Diazinon,50.0,1.0,1.0,11120.0,21.0,2.0,55.0,-0.4,5.0
BL030,Diazinon,50.0,1.0,2.0,19570.0,49.0,3.0,70.0,1.6,7.0
BL030,Diazinon,50.0,1.0,3.0,40225.0,85.0,11.0,80.0,-1.4,18.0
BL030,Diazinon,50.0,1.0,4.0,1161505.0,2367.0,313.0,1440.0,11.4,2367.0
BL030,Diazinon,5.0,1.0,1.0,76862.5,188.0,13.0,95.0,2.4,17.0
BL030,Diazinon,5.0,1.0,2.0,14770.0,38.0,2.0,5.0,1.0,3.0
BL030,Diazinon,5.0,1.0,3.0,33405.0,76.0,9.0,0.0,-1.6,22.0
BL030,Diazinon,5.0,1.0,4.0,388310.0,780.0,47.0,1430.0,3.0,778.0
BL030,Diazinon,0.5,1.0,1.0,10047.5,24.0,2.0,0.0,-1.0,3.0
BL030,Diazinon,0.5,1.0,2.0,14277.5,36.0,2.0,75.0,0.0,3.0
BL030,Diazinon,0.5,1.0,3.0,34537.5,84.0,7.0,80.0,-2.0,13.0
BL030,Diazinon,0.5,1.0,4.0,517582.5,726.0,67.0,765.0,5.6,72.0
BL030,Diazinon,0.05,1.0,1.0,4482.5,14.0,0.0,0.0,-1.0,3.0
BL030,Diazinon,0.05,1.0,2.0,18075.0,43.0,3.0,90.0,0.8,4.0
BL030,Diazinon,0.05,1.0,3.0,221952.5,328.0,21.0,1440.0,1.0,328.0
BL030,Diazinon,0.05,1.0,4.0,827202.5,1473.0,61.0,685.0,11.2,565.0
BL030,Diazinon,500.0,2.0,1.0,12697.5,28.0,4.0,5.0,0.4,9.0
BL030,Diazinon,500.0,2.0,2.0,41622.5,110.0,13.0,30.0,1.0,24.0
BL030,Diazinon,500.0,2.0,3.0,23237965.0,34831.0,212.0,1350.0,10.4,34512.0
BL030,Diazinon,500.0,2.0,4.0,13200140.0,16969.0,345.0,825.0,25.2,8037.0
BL030,Diazinon,50.0,2.0,1.0,8100.0,29.0,1.0,0.0,-1.0,3.0
BL030,Diazinon,50.0,2.0,2.0,37172.5,116.0,11.0,20.0,0.2,16.0
BL030,Diazinon,50.0,2.0,3.0,412865.0,388.0,149.0,555.0,9.4,343.0
BL030,Diazinon,50.0,2.0,4.0,1149255.0,1221.0,339.0,320.0,22.4,997.0
BL030,Diazinon,5.0,2.0,1.0,29455.0,172.0,7.0,5.0,4.2,13.0
BL030,Diazinon,5.0,2.0,2.0,23222.5,87.0,4.0,10.0,2.0,8.0
BL030,Diazinon,5.0,2.0,3.0,356612.5,443.0,169.0,820.0,11.4,413.0
BL030,Diazinon,5.0,2.0,4.0,1883935.0,2513.0,362.0,1430.0,19.0,2484.0
BL030,Diazinon,0.5,2.0,1.0,11540.0,34.0,2.0,0.0,-1.2,2.0
BL030,Diazinon,0.5,2.0,2.0,34937.5,157.0,9.0,15.0,0.8,15.0
BL030,Diazinon,0.5,2.0,3.0,82562.5,255.0,17.0,15.0,1.6,87.0
BL030,Diazinon,0.5,2.0,4.0,6581955.0,17501.0,349.0,1120.0,19.4,3031.0
BL030,Diazinon,0.05,2.0,1.0,5562.5,24.0,1.0,0.0,-1.4,1.0
BL030,Diazinon,0.05,2.0,2.0,22245.0,85.0,2.0,15.0,0.2,7.0
BL030,Diazinon,0.05,2.0,3.0,970137.5,1809.0,66.0,545.0,17.8,325.0
BL030,Diazinon,0.05,2.0,4.0,1204565.0,2160.0,94.0,660.0,20.0,228.0
BL030,Diazinon,500.0,3.0,1.0,20022.5,42.0,6.0,0.0,-1.6,7.0
BL030,Diazinon,500.0,3.0,2.0,51027.5,88.0,16.0,10.0,-1.8,20.0
BL030,Diazinon,500.0,3.0,3.0,1465410.0,3210.0,66.0,1440.0,-1.4,3210.0
BL030,Diazinon,500.0,3.0,4.0,1692832.5,1643.0,499.0,645.0,29.2,1048.0
BL030,Diazinon,50.0,3.0,1.0,13950.0,35.0,2.0,5.0,1.0,4.0
BL030,Diazinon,50.0,3.0,2.0,47945.0,80.0,18.0,10.0,0.0,25.0
BL030,Diazinon,50.0,3.0,3.0,106070.0,249.0,30.0,45.0,5.2,36.0
BL030,Diazinon,50.0,3.0,4.0,438092.5,769.0,99.0,185.0,15.2,117.0
BL030,Diazinon,5.0,3.0,1.0,11722.5,30.0,3.0,0.0,-0.2,3.0
BL030,Diazinon,5.0,3.0,2.0,29857.5,86.0,5.0,30.0,0.2,8.0
BL030,Diazinon,5.0,3.0,3.0,83830.0,206.0,23.0,50.0,6.8,83.0
BL030,Diazinon,5.0,3.0,4.0,733452.5,806.0,330.0,190.0,18.2,603.0
BL030,Diazinon,0.5,3.0,1.0,15195.0,45.0,3.0,0.0,-2.0,5.0
BL030,Diazinon,0.5,3.0,2.0,28255.0,77.0,4.0,25.0,-1.2,6.0
BL030,Diazinon,0.5,3.0,3.0,52357.5,169.0,17.0,15.0,2.2,26.0
BL030,Diazinon,0.5,3.0,4.0,6879187.5,8679.0,489.0,1010.0,27.2,7106.0
BL030,Diazinon,0.05,3.0,1.0,13582.5,32.0,2.0,0.0,-0.2,3.0
BL030,Diazinon,0.05,3.0,2.0,43345.0,89.0,15.0,15.0,0.6,26.0
BL030,Diazinon,0.05,3.0,3.0,50427.5,183.0,13.0,20.0,1.0,21.0
BL030,Diazinon,0.05,3.0,4.0,1256432.5,2549.0,74.0,545.0,21.8,158.0
BL030,Diazinon,500.0,4.0,1.0,40082.5,69.0,12.0,30.0,1.6,25.0
BL030,Diazinon,500.0,4.0,2.0,54015.0,136.0,14.0,30.0,0.2,19.0
BL030,Diazinon,500.0,4.0,3.0,2430295.0,6112.0,76.0,1440.0,2.8,6112.0
BL030,Diazinon,500.0,4.0,4.0,3387945.0,3605.0,477.0,915.0,26.4,2457.0
BL030,Diazinon,50.0,4.0,1.0,31847.5,93.0,4.0,10.0,1.6,10.0
BL030,Diazinon,50.0,4.0,2.0,38530.0,116.0,6.0,15.0,5.2,9.0
BL030,Diazinon,50.0,4.0,3.0,201667.5,307.0,85.0,15.0,8.8,91.0
BL030,Diazinon,50.0,4.0,4.0,712197.5,915.0,316.0,160.0,23.4,385.0
BL030,Diazinon,5.0,4.0,1.0,18985.0,51.0,1.0,0.0,-0.8,3.0
BL030,Diazinon,5.0,4.0,2.0,44672.5,169.0,12.0,15.0,7.4,13.0
BL030,Diazinon,5.0,4.0,3.0,57847.5,192.0,18.0,5.0,4.8,31.0
BL030,Diazinon,5.0,4.0,4.0,4083930.0,6234.0,522.0,1430.0,18.8,6168.0
BL030,Diazinon,0.5,4.0,1.0,30897.5,112.0,2.0,15.0,1.6,3.0
BL030,Diazinon,0.5,4.0,2.0,22515.0,57.0,3.0,0.0,-1.2,5.0
BL030,Diazinon,0.5,4.0,3.0,49887.5,196.0,14.0,10.0,1.4,20.0
BL030,Diazinon,0.5,4.0,4.0,1587527.5,2550.0,119.0,480.0,28.4,716.0
BL030,Diazinon,0.05,4.0,1.0,25462.5,67.0,2.0,0.0,-0.6,8.0
BL030,Diazinon,0.05,4.0,2.0,36662.5,137.0,5.0,15.0,-0.4,12.0
BL030,Diazinon,0.05,4.0,3.0,40332.5,165.0,7.0,10.0,4.0,13.0
BL030,Diazinon,0.05,4.0,4.0,996610.0,1713.0,85.0,435.0,21.0,347.0
BL030,Diazinon,500.0,5.0,1.0,11000.0,36.0,0.0,10.0,-1.0,4.0
BL030,Diazinon,500.0,5.0,2.0,11822.5,54.0,0.0,10.0,-0.2,3.0
BL030,Diazinon,500.0,5.0,3.0,38160.0,98.0,13.0,10.0,2.8,21.0
BL030,Diazinon,500.0,5.0,4.0,170390.0,521.0,33.0,30.0,0.2,39.0
BL030,Diazinon,50.0,5.0,1.0,5892.5,20.0,0.0,0.0,-0.6,5.0
BL030,Diazinon,50.0,5.0,2.0,17325.0,83.0,1.0,15.0,3.0,9.0
BL030,Diazinon,50.0,5.0,3.0,25870.0,94.0,5.0,10.0,1.4,10.0
BL030,Diazinon,50.0,5.0,4.0,145792.5,478.0,24.0,15.0,2.8,34.0
BL030,Diazinon,5.0,5.0,1.0,8380.0,41.0,0.0,0.0,-1.4,3.0
BL030,Diazinon,5.0,5.0,2.0,12880.0,68.0,0.0,5.0,0.8,4.0
BL030,Diazinon,5.0,5.0,3.0,21230.0,106.0,0.0,15.0,0.8,7.0
BL030,Diazinon,5.0,5.0,4.0,176747.5,524.0,49.0,25.0,11.4,139.0
BL030,Diazinon,0.5,5.0,1.0,11915.0,35.0,0.0,25.0,1.0,2.0
BL030,Diazinon,0.5,5.0,2.0,16552.5,87.0,1.0,5.0,1.0,3.0
BL030,Diazinon,0.5,5.0,3.0,14282.5,72.0,0.0,10.0,1.0,1.0
BL030,Diazinon,0.5,5.0,4.0,413485.0,1317.0,53.0,1440.0,8.2,1317.0
BL030,Diazinon,0.05,5.0,1.0,10760.0,36.0,0.0,0.0,-0.4,2.0
BL030,Diazinon,0.05,5.0,2.0,16507.5,85.0,0.0,15.0,0.0,4.0
BL030,Diazinon,0.05,5.0,3.0,16700.0,81.0,1.0,15.0,0.6,4.0
BL030,Diazinon,0.05,5.0,4.0,466822.5,1533.0,50.0,1440.0,11.4,1533.0
BL030,Trimethoprim,500.0,1.0,1.0,781027.5,3264.0,5.0,1440.0,-6.2,3264.0
BL030,Trimethoprim,500.0,1.0,2.0,123050.0,832.0,7.0,1440.0,-53.0,832.0
BL030,Trimethoprim,500.0,1.0,3.0,155967.5,1577.0,8.0,0.0,-67.6,12.0
BL030,Trimethoprim,500.0,1.0,4.0,92177395.0,106437.0,30105.0,425.0,-8.0,38439.0
BL030,Trimethoprim,50.0,1.0,4.0,14810817.5,19304.0,5227.0,410.0,-422.4,5227.0
BL030,Trimethoprim,5.0,1.0,4.0,18786997.5,61854.0,3491.0,80.0,-313.4,3567.0
BL030,Trimethoprim,0.5,1.0,4.0,26826450.0,84402.0,6426.0,70.0,420.2,6426.0
BL030,Trimethoprim,0.05,1.0,4.0,40493027.5,88799.0,5315.0,75.0,708.2,5315.0
BL030,Trimethoprim,500.0,2.0,1.0,8152.5,42.0,1.0,0.0,-3.6,6.0
BL030,Trimethoprim,500.0,2.0,2.0,252657.5,1064.0,14.0,0.0,-64.6,463.0
BL030,Trimethoprim,500.0,2.0,3.0,14188445.0,21772.0,4725.0,1440.0,-105.8,21772.0
BL030,Trimethoprim,500.0,2.0,4.0,13864742.5,17512.0,5792.0,155.0,-77.2,13374.0
BL030,Trimethoprim,50.0,2.0,4.0,13641022.5,27520.0,2667.0,175.0,295.0,2667.0
BL030,Trimethoprim,5.0,2.0,4.0,12178070.0,46140.0,1002.0,80.0,518.0,9654.0
BL030,Trimethoprim,0.5,2.0,4.0,12291280.0,46568.0,1212.0,80.0,518.4,9244.0
BL030,Trimethoprim,0.05,2.0,4.0,13491757.5,47602.0,1282.0,80.0,539.8,15181.0
BL030,Trimethoprim,500.0,3.0,1.0,7585.0,16.0,2.0,0.0,-1.0,5.0
BL030,Trimethoprim,500.0,3.0,2.0,103565.0,628.0,12.0,1440.0,-14.8,628.0
BL030,Trimethoprim,500.0,3.0,3.0,43007090.0,46216.0,8742.0,545.0,-71.2,27462.0
BL030,Trimethoprim,500.0,3.0,4.0,100959887.5,101820.0,20548.0,490.0,241.8,71751.0
BL030,Trimethoprim,50.0,3.0,4.0,34513402.5,59651.0,8904.0,265.0,444.6,8904.0
BL030,Trimethoprim,5.0,3.0,4.0,18894055.0,30799.0,3126.0,235.0,363.2,3126.0
BL030,Trimethoprim,0.5,3.0,4.0,20309220.0,32631.0,5636.0,250.0,539.0,5636.0
BL030,Trimethoprim,0.05,3.0,4.0,19216485.0,32055.0,5199.0,15.0,437.4,5199.0
BL030,Trimethoprim,500.0,4.0,1.0,12252.5,186.0,0.0,0.0,-4.4,7.0
BL030,Trimethoprim,500.0,4.0,2.0,23880.0,302.0,1.0,0.0,-5.0,6.0
BL030,Trimethoprim,500.0,4.0,3.0,70622.5,951.0,4.0,0.0,-26.6,8.0
BL030,Trimethoprim,500.0,4.0,4.0,54726670.0,48152.0,19371.0,625.0,221.0,44380.0
BL030,Trimethoprim,50.0,4.0,4.0,72063042.5,90881.0,24885.0,395.0,414.2,35880.0
BL030,Trimethoprim,5.0,4.0,4.0,35762702.5,38158.0,18180.0,260.0,511.0,22128.0
BL030,Trimethoprim,0.5,4.0,4.0,27811695.0,29679.0,13842.0,5.0,195.0,17320.0
BL030,Trimethoprim,0.05,4.0,4.0,26647017.5,30966.0,12223.0,15.0,670.4,17866.0
BL030,Trimethoprim,500.0,5.0,1.0,7540.0,24.0,0.0,145.0,-0.6,0.0
BL030,Trimethoprim,500.0,5.0,2.0,14002.5,85.0,0.0,0.0,-5.6,4.0
BL030,Trimethoprim,500.0,5.0,3.0,82285.0,523.0,18.0,0.0,-17.0,29.0
BL030,Trimethoprim,500.0,5.0,4.0,122361212.5,110289.0,4841.0,885.0,126.8,79120.0
BL030,Trimethoprim,50.0,5.0,1.0,5192.5,28.0,0.0,1420.0,-1.2,28.0
BL030,Trimethoprim,50.0,5.0,2.0,8687.5,121.0,0.0,0.0,-5.0,12.0
BL030,Trimethoprim,50.0,5.0,3.0,26055.0,287.0,0.0,0.0,-12.8,7.0
BL030,Trimethoprim,50.0,5.0,4.0,31831630.0,98161.0,3607.0,160.0,367.2,3640.0
BL030,Trimethoprim,5.0,5.0,1.0,3225.0,28.0,0.0,0.0,-2.8,0.0
BL030,Trimethoprim,5.0,5.0,2.0,23517.5,152.0,0.0,1430.0,-1.4,146.0
BL030,Trimethoprim,5.0,5.0,3.0,120535.0,759.0,14.0,0.0,-21.4,37.0
BL030,Trimethoprim,5.0,5.0,4.0,30575417.5,87638.0,2464.0,170.0,313.2,2525.0
BL030,Trimethoprim,0.5,5.0,1.0,5175.0,119.0,0.0,0.0,-7.4,1.0
BL030,Trimethoprim,0.5,5.0,2.0,4050.0,32.0,0.0,0.0,-1.0,0.0
BL030,Trimethoprim,0.5,5.0,3.0,13467.5,99.0,0.0,0.0,-2.0,0.0
BL030,Trimethoprim,0.5,5.0,4.0,25734422.5,78350.0,2190.0,120.0,384.6,2210.0
BL030,Trimethoprim,0.05,5.0,1.0,7852.5,27.0,0.0,110.0,0.0,4.0
BL030,Trimethoprim,0.05,5.0,2.0,18170.0,250.0,0.0,0.0,-11.6,0.0
BL030,Trimethoprim,0.05,5.0,3.0,66802.5,597.0,0.0,0.0,-14.0,0.0
BL030,Trimethoprim,0.05,5.0,4.0,29498787.5,75490.0,4346.0,165.0,404.2,4346.0
BL030,DEET,500.0,1.0,1.0,574490.0,1492.0,72.0,75.0,51.0,848.0
BL030,DEET,500.0,1.0,2.0,706397.5,1755.0,72.0,95.0,44.8,1315.0
BL030,DEET,500.0,1.0,3.0,687707.5,2140.0,72.0,80.0,34.8,1271.0
BL030,DEET,500.0,1.0,4.0,754787.5,2501.0,72.0,85.0,44.8,1354.0
BL030,DEET,50.0,1.0,1.0,603705.0,1622.0,51.0,65.0,47.2,1126.0
BL030,DEET,50.0,1.0,2.0,709645.0,1828.0,60.0,70.0,42.4,1356.0
BL030,DEET,50.0,1.0,3.0,725807.5,2275.0,55.0,80.0,40.8,1503.0
BL030,DEET,50.0,1.0,4.0,808977.5,2514.0,68.0,85.0,40.2,1522.0
BL030,DEET,5.0,1.0,1.0,556412.5,1616.0,42.0,80.0,55.0,1075.0
BL030,DEET,5.0,1.0,2.0,693250.0,1885.0,54.0,85.0,42.0,1444.0
BL030,DEET,5.0,1.0,3.0,669632.5,2350.0,56.0,85.0,38.2,1395.0
BL030,DEET,5.0,1.0,4.0,776665.0,2511.0,71.0,85.0,35.8,1538.0
BL030,DEET,0.5,1.0,1.0,612377.5,1651.0,45.0,65.0,52.2,1141.0
BL030,DEET,0.5,1.0,2.0,590975.0,1786.0,48.0,85.0,43.4,1220.0
BL030,DEET,0.5,1.0,3.0,723340.0,2302.0,58.0,90.0,41.6,1487.0
BL030,DEET,0.5,1.0,4.0,749957.5,2562.0,62.0,85.0,46.4,1452.0
BL030,DEET,0.05,1.0,1.0,594395.0,1649.0,46.0,70.0,53.4,1114.0
BL030,DEET,0.05,1.0,2.0,644330.0,1743.0,54.0,75.0,47.2,1181.0
BL030,DEET,0.05,1.0,3.0,731272.5,2416.0,60.0,85.0,50.0,1213.0
BL030,DEET,0.05,1.0,4.0,676515.0,2585.0,61.0,85.0,51.0,1195.0
BL030,DEET,500.0,2.0,1.0,10795850.0,32619.0,807.0,1440.0,-5.6,32619.0
BL030,DEET,500.0,2.0,2.0,10534910.0,30796.0,829.0,1440.0,-4.6,30796.0
BL030,DEET,500.0,2.0,3.0,13926540.0,41885.0,887.0,1440.0,11.8,41885.0
BL030,DEET,500.0,2.0,4.0,16551732.5,49282.0,911.0,1440.0,42.4,49282.0
BL030,DEET,50.0,2.0,1.0,9483610.0,28635.0,837.0,1440.0,5.2,28635.0
BL030,DEET,50.0,2.0,2.0,1689872.5,2351.0,126.0,280.0,0.0,211.0
BL030,DEET,50.0,2.0,3.0,13466025.0,43141.0,841.0,1440.0,31.4,43141.0
BL030,DEET,50.0,2.0,4.0,18180522.5,55491.0,912.0,1440.0,46.6,55491.0
BL030,DEET,5.0,2.0,1.0,1582800.0,2125.0,128.0,400.0,-5.0,173.0
BL030,DEET,5.0,2.0,2.0,1698780.0,2335.0,124.0,350.0,-11.6,192.0
BL030,DEET,5.0,2.0,3.0,2130650.0,2889.0,213.0,230.0,41.4,947.0
BL030,DEET,5.0,2.0,4.0,2086240.0,2968.0,212.0,225.0,52.6,550.0
BL030,DEET,0.5,2.0,1.0,1643540.0,2221.0,134.0,365.0,12.6,172.0
BL030,DEET,0.5,2.0,2.0,1725617.5,2390.0,133.0,400.0,2.2,193.0
BL030,DEET,0.5,2.0,3.0,1908585.0,2849.0,140.0,240.0,24.8,195.0
BL030,DEET,0.5,2.0,4.0,2193897.5,3001.0,185.0,215.0,40.6,954.0
BL030,DEET,0.05,2.0,1.0,1613727.5,2183.0,114.0,435.0,3.4,160.0
BL030,DEET,0.05,2.0,2.0,1692020.0,2332.0,115.0,395.0,-3.6,158.0
BL030,DEET,0.05,2.0,3.0,1910040.0,2912.0,132.0,240.0,25.4,184.0
BL030,DEET,0.05,2.0,4.0,3559150.0,6146.0,768.0,1430.0,47.2,6130.0
BL030,DEET,500.0,3.0,1.0,10795850.0,32619.0,807.0,1440.0,-5.6,32619.0
BL030,DEET,500.0,3.0,2.0,10534910.0,30796.0,829.0,1440.0,-4.6,30796.0
BL030,DEET,500.0,3.0,3.0,13926540.0,41885.0,887.0,1440.0,11.8,41885.0
BL030,DEET,500.0,3.0,4.0,16551732.5,49282.0,911.0,1440.0,42.4,49282.0
BL030,DEET,50.0,3.0,1.0,9483610.0,28635.0,837.0,1440.0,5.2,28635.0
BL030,DEET,50.0,3.0,2.0,1689872.5,2351.0,126.0,280.0,0.0,211.0
BL030,DEET,50.0,3.0,3.0,13466025.0,43141.0,841.0,1440.0,31.4,43141.0
BL030,DEET,50.0,3.0,4.0,18180522.5,55491.0,912.0,1440.0,46.6,55491.0
BL030,DEET,5.0,3.0,1.0,1582800.0,2125.0,128.0,400.0,-5.0,173.0
BL030,DEET,5.0,3.0,2.0,1698780.0,2335.0,124.0,350.0,-11.6,192.0
BL030,DEET,5.0,3.0,3.0,2130650.0,2889.0,213.0,230.0,41.4,947.0
BL030,DEET,5.0,3.0,4.0,2086240.0,2968.0,212.0,225.0,52.6,550.0
BL030,DEET,0.5,3.0,1.0,1643540.0,2221.0,134.0,365.0,12.6,172.0
BL030,DEET,0.5,3.0,2.0,1725617.5,2390.0,133.0,400.0,2.2,193.0
BL030,DEET,0.5,3.0,3.0,1908585.0,2849.0,140.0,240.0,24.8,195.0
BL030,DEET,0.5,3.0,4.0,2193897.5,3001.0,185.0,215.0,40.6,954.0
BL030,DEET,0.05,3.0,1.0,1613727.5,2183.0,114.0,435.0,3.4,160.0
BL030,DEET,0.05,3.0,2.0,1692020.0,2332.0,115.0,395.0,-3.6,158.0
BL030,DEET,0.05,3.0,3.0,1910040.0,2912.0,132.0,240.0,25.4,184.0
BL030,DEET,0.05,3.0,4.0,3559150.0,6146.0,768.0,1430.0,47.2,6130.0
BL030,DEET,500.0,4.0,1.0,2130.0,4.0,0.0,190.0,-0.2,1.0
BL030,DEET,500.0,4.0,2.0,2265.0,11.0,0.0,435.0,-0.4,1.0
BL030,DEET,500.0,4.0,3.0,2485.0,10.0,0.0,0.0,-0.6,2.0
BL030,DEET,500.0,4.0,4.0,12280.0,211.0,1.0,0.0,-7.8,5.0
BL030,DEET,50.0,4.0,1.0,2040.0,6.0,0.0,365.0,-0.2,1.0
BL030,DEET,50.0,4.0,2.0,2035.0,7.0,0.0,370.0,0.2,1.0
BL030,DEET,50.0,4.0,3.0,2182.5,4.0,0.0,5.0,0.2,2.0
BL030,DEET,50.0,4.0,4.0,12015.0,279.0,0.0,0.0,-2.8,3.0
BL030,DEET,5.0,4.0,1.0,1965.0,4.0,0.0,0.0,-0.4,4.0
BL030,DEET,5.0,4.0,2.0,1992.5,8.0,0.0,0.0,-0.6,1.0
BL030,DEET,5.0,4.0,3.0,1942.5,12.0,0.0,0.0,-1.0,1.0
BL030,DEET,5.0,4.0,4.0,18107.5,301.0,1.0,0.0,-11.0,8.0
BL030,DEET,0.5,4.0,1.0,1955.0,6.0,0.0,460.0,-0.4,2.0
BL030,DEET,0.5,4.0,2.0,1985.0,11.0,0.0,0.0,-1.4,1.0
BL030,DEET,0.5,4.0,3.0,2020.0,14.0,0.0,0.0,-0.4,0.0
BL030,DEET,0.5,4.0,4.0,9082.5,180.0,0.0,0.0,-3.2,3.0
BL030,DEET,0.05,4.0,1.0,2022.5,6.0,0.0,1185.0,-0.2,2.0
BL030,DEET,0.05,4.0,2.0,2067.5,8.0,0.0,0.0,-1.0,1.0
BL030,DEET,0.05,4.0,3.0,2105.0,3.0,0.0,20.0,-0.4,2.0
BL030,DEET,0.05,4.0,4.0,16290.0,272.0,1.0,0.0,-7.8,6.0
BL030,DEET,500.0,5.0,1.0,3385.0,10.0,0.0,1360.0,0.0,6.0
BL030,DEET,500.0,5.0,2.0,2567.5,7.0,0.0,1155.0,-0.6,1.0
BL030,DEET,500.0,5.0,3.0,2457.5,4.0,0.0,0.0,-0.4,1.0
BL030,DEET,500.0,5.0,4.0,3045.0,9.0,0.0,595.0,-0.4,2.0
BL030,DEET,50.0,5.0,1.0,5550.0,14.0,0.0,1125.0,0.0,6.0
BL030,DEET,50.0,5.0,2.0,2625.0,29.0,0.0,445.0,-0.2,1.0
BL030,DEET,50.0,5.0,3.0,2477.5,9.0,0.0,1240.0,0.0,1.0
BL030,DEET,50.0,5.0,4.0,2807.5,18.0,0.0,1400.0,0.2,2.0
BL030,DEET,5.0,5.0,1.0,2562.5,10.0,0.0,285.0,0.2,1.0
BL030,DEET,5.0,5.0,2.0,2435.0,7.0,0.0,235.0,-0.2,2.0
BL030,DEET,5.0,5.0,3.0,2312.5,5.0,0.0,820.0,0.0,2.0
BL030,DEET,5.0,5.0,4.0,2570.0,5.0,0.0,25.0,0.4,2.0
BL030,DEET,0.5,5.0,1.0,2397.5,4.0,0.0,5.0,0.4,3.0
BL030,DEET,0.5,5.0,2.0,2435.0,5.0,0.0,1355.0,-0.2,2.0
BL030,DEET,0.5,5.0,3.0,2440.0,5.0,0.0,570.0,-0.2,1.0
BL030,DEET,0.5,5.0,4.0,2580.0,12.0,0.0,695.0,0.0,1.0
BL030,DEET,0.05,5.0,1.0,2385.0,4.0,0.0,30.0,-0.2,2.0
BL030,DEET,0.05,5.0,2.0,2380.0,8.0,0.0,435.0,0.0,2.0
BL030,DEET,0.05,5.0,3.0,2445.0,5.0,0.0,675.0,0.2,1.0
BL030,DEET,0.05,5.0,4.0,2847.5,6.0,0.0,85.0,-0.6,0.0
BL030,Propoxur,500.0,1.0,1.0,46632460.0,70665.0,10943.0,295.0,649.0,45586.0
BL030,Propoxur,500.0,1.0,2.0,45740785.0,70341.0,11199.0,200.0,715.8,43034.0
BL030,Propoxur,500.0,1.0,3.0,25253015.0,61791.0,3877.0,195.0,517.4,4074.0
BL030,Propoxur,500.0,1.0,4.0,47686782.5,72331.0,14778.0,190.0,548.6,54572.0
BL030,Propoxur,50.0,1.0,1.0,46827122.5,66712.0,19429.0,205.0,785.0,39352.0
BL030,Propoxur,50.0,1.0,2.0,49234275.0,68061.0,19211.0,195.0,674.0,43179.0
BL030,Propoxur,50.0,1.0,3.0,26491390.0,59802.0,2786.0,200.0,604.2,2786.0
BL030,Propoxur,50.0,1.0,4.0,27052707.5,62388.0,2640.0,195.0,630.6,2653.0
BL030,Propoxur,5.0,1.0,1.0,52782250.0,64220.0,20091.0,210.0,695.0,44226.0
BL030,Propoxur,5.0,1.0,2.0,52940912.5,65158.0,20874.0,310.0,645.2,44265.0
BL030,Propoxur,5.0,1.0,3.0,26424340.0,53548.0,2445.0,65.0,685.0,2445.0
BL030,Propoxur,5.0,1.0,4.0,27824597.5,56139.0,2404.0,75.0,519.0,2404.0
BL030,Propoxur,0.5,1.0,1.0,50490855.0,64336.0,21701.0,310.0,769.6,40309.0
BL030,Propoxur,0.5,1.0,2.0,49936290.0,65886.0,20570.0,310.0,694.4,40216.0
BL030,Propoxur,0.5,1.0,3.0,26589582.5,54762.0,2403.0,75.0,576.2,2420.0
BL030,Propoxur,0.5,1.0,4.0,27525445.0,57820.0,2620.0,75.0,575.6,2620.0
BL030,Propoxur,0.05,1.0,1.0,25927882.5,54040.0,2177.0,75.0,664.6,2193.0
BL030,Propoxur,0.05,1.0,2.0,49574017.5,64210.0,20376.0,310.0,772.6,37787.0
BL030,Propoxur,0.05,1.0,3.0,26450140.0,55492.0,2293.0,75.0,666.8,2293.0
BL030,Propoxur,0.05,1.0,4.0,27513912.5,58547.0,2599.0,190.0,583.8,2599.0
BL030,Propoxur,500.0,2.0,1.0,48656720.0,59830.0,12824.0,215.0,317.4,46751.0
BL030,Propoxur,500.0,2.0,2.0,44697232.5,58848.0,12675.0,215.0,304.2,43720.0
BL030,Propoxur,500.0,2.0,3.0,47486990.0,61069.0,15056.0,215.0,315.4,45785.0
BL030,Propoxur,500.0,2.0,4.0,49785927.5,59589.0,16311.0,215.0,224.4,51655.0
BL030,Propoxur,50.0,2.0,1.0,44607865.0,53222.0,17114.0,215.0,482.0,43502.0
BL030,Propoxur,50.0,2.0,2.0,45477837.5,52495.0,16737.0,215.0,442.4,44115.0
BL030,Propoxur,50.0,2.0,3.0,28264422.5,53520.0,8522.0,5.0,372.6,10284.0
BL030,Propoxur,50.0,2.0,4.0,18871970.0,55308.0,2259.0,5.0,283.4,2259.0
BL030,Propoxur,5.0,2.0,1.0,46207295.0,50887.0,19305.0,5.0,325.8,45850.0
BL030,Propoxur,5.0,2.0,2.0,47807187.5,53761.0,18806.0,215.0,415.8,45900.0
BL030,Propoxur,5.0,2.0,3.0,13788022.5,53729.0,615.0,5.0,369.6,9880.0
