strain,chemical,concentration,experiment,replicate,auc,max_signal,min_signal,time_to_peak,initial_slope,final_signal
BL011,Boric Acid,500.0,3.0,2.0,13526075.0,43164.0,1327.0,140.0,490.6,1364.0
BL011,Boric Acid,500.0,3.0,3.0,13343627.5,42215.0,1273.0,140.0,515.4,1338.0
BL011,Boric Acid,500.0,3.0,4.0,13649210.0,43029.0,1391.0,140.0,521.8,1391.0
BL011,Boric Acid,50.0,3.0,1.0,12575442.5,40501.0,1241.0,140.0,473.8,1303.0
BL011,Boric Acid,50.0,3.0,2.0,17164060.0,45638.0,1148.0,140.0,463.8,1148.0
BL011,Boric Acid,50.0,3.0,3.0,17090712.5,45884.0,1181.0,140.0,493.6,1181.0
BL011,Boric Acid,50.0,3.0,4.0,13894557.5,42575.0,1335.0,140.0,531.0,1376.0
BL011,Boric Acid,5.0,3.0,1.0,16167712.5,42632.0,1098.0,140.0,463.6,1098.0
BL011,Boric Acid,5.0,3.0,2.0,16833755.0,44108.0,1038.0,140.0,482.2,1038.0
BL011,Boric Acid,5.0,3.0,3.0,17371907.5,43663.0,1195.0,140.0,486.8,1195.0
BL011,Boric Acid,5.0,3.0,4.0,13776120.0,43276.0,1358.0,140.0,487.4,1363.0
BL011,Boric Acid,0.5,3.0,1.0,15825407.5,42754.0,992.0,140.0,465.8,992.0
BL011,Boric Acid,0.5,3.0,2.0,16726182.5,43925.0,1269.0,140.0,465.6,1269.0
BL011,Boric Acid,0.5,3.0,3.0,17168627.5,45614.0,955.0,140.0,493.4,955.0
BL011,Boric Acid,0.5,3.0,4.0,13916625.0,42646.0,1289.0,140.0,499.0,1384.0
BL011,Boric Acid,0.05,3.0,1.0,15891367.5,41984.0,906.0,140.0,484.8,906.0
BL011,Boric Acid,0.05,3.0,2.0,16375260.0,42032.0,1291.0,140.0,465.6,1291.0
BL011,Boric Acid,0.05,3.0,3.0,16995237.5,44347.0,1183.0,140.0,496.2,1183.0
BL011,Boric Acid,0.05,3.0,4.0,13417215.0,41349.0,1274.0,140.0,483.0,1274.0
BL011,Boric Acid,500.0,4.0,1.0,10354052.5,34163.0,1594.0,125.0,71.8,1594.0
BL011,Boric Acid,500.0,4.0,2.0,14983717.5,36294.0,1548.0,125.0,297.6,1639.0
BL011,Boric Acid,500.0,4.0,3.0,15059437.5,39475.0,1507.0,125.0,223.4,1694.0
BL011,Boric Acid,500.0,4.0,4.0,10799537.5,34052.0,1631.0,115.0,306.8,1631.0
BL011,Boric Acid,50.0,4.0,1.0,10251152.5,34354.0,1525.0,125.0,123.2,1525.0
BL011,Boric Acid,50.0,4.0,2.0,10062082.5,32948.0,1617.0,120.0,202.0,1617.0
BL011,Boric Acid,50.0,4.0,3.0,10504380.0,34179.0,1609.0,120.0,214.0,1609.0
BL011,Boric Acid,50.0,4.0,4.0,10713320.0,33884.0,1607.0,115.0,349.6,1628.0
BL011,Boric Acid,5.0,4.0,1.0,14029517.5,36112.0,1393.0,125.0,26.2,1469.0
BL011,Boric Acid,5.0,4.0,2.0,10480222.5,32603.0,1627.0,125.0,288.4,1653.0
BL011,Boric Acid,5.0,4.0,3.0,10511195.0,33442.0,1631.0,125.0,297.2,1651.0
BL011,Boric Acid,5.0,4.0,4.0,10716722.5,32587.0,1619.0,115.0,441.2,1619.0
BL011,Boric Acid,0.5,4.0,1.0,14184350.0,36924.0,1372.0,125.0,105.6,1556.0
BL011,Boric Acid,0.5,4.0,2.0,11135155.0,33566.0,1763.0,125.0,171.4,1763.0
BL011,Boric Acid,0.5,4.0,3.0,10513435.0,32527.0,1682.0,125.0,284.4,1682.0
BL011,Boric Acid,0.5,4.0,4.0,10261412.5,30841.0,1651.0,115.0,390.6,1651.0
BL011,Boric Acid,0.05,4.0,1.0,13988642.5,34894.0,1454.0,140.0,168.4,1562.0
BL011,Boric Acid,0.05,4.0,2.0,13987187.5,33904.0,1393.0,120.0,221.8,1452.0
BL011,Boric Acid,0.05,4.0,3.0,10194167.5,31368.0,1655.0,125.0,280.8,1655.0
BL011,Boric Acid,0.05,4.0,4.0,11356005.0,32890.0,1887.0,125.0,413.4,1912.0
BL011,Boric Acid,500.0,5.0,1.0,12476000.0,41345.0,1374.0,135.0,493.8,1374.0
BL011,Boric Acid,500.0,5.0,2.0,12226912.5,38875.0,1318.0,135.0,559.0,1325.0
BL011,Boric Acid,500.0,5.0,3.0,12678182.5,41404.0,1335.0,135.0,538.0,1335.0
BL011,Boric Acid,500.0,5.0,4.0,13033705.0,43079.0,1402.0,135.0,598.4,1454.0
BL011,Boric Acid,50.0,5.0,1.0,11915180.0,38622.0,1376.0,135.0,521.6,1376.0
BL011,Boric Acid,50.0,5.0,2.0,12585877.5,41013.0,1402.0,135.0,513.8,1404.0
BL011,Boric Acid,50.0,5.0,3.0,17589987.5,48314.0,1074.0,135.0,513.4,1107.0
BL011,Boric Acid,50.0,5.0,4.0,12977137.5,42260.0,1401.0,135.0,575.2,1412.0
BL011,Boric Acid,5.0,5.0,1.0,14805845.0,38516.0,1019.0,135.0,457.2,1019.0
BL011,Boric Acid,5.0,5.0,2.0,15796460.0,41663.0,957.0,135.0,520.4,957.0
BL011,Boric Acid,5.0,5.0,3.0,16236697.5,42574.0,896.0,135.0,485.6,914.0
BL011,Boric Acid,5.0,5.0,4.0,12731737.5,40128.0,1450.0,135.0,558.6,1454.0
BL011,Boric Acid,0.5,5.0,1.0,15160502.5,41371.0,944.0,135.0,452.6,944.0
BL011,Boric Acid,0.5,5.0,2.0,15521332.5,41879.0,902.0,135.0,467.8,920.0
BL011,Boric Acid,0.5,5.0,3.0,16138847.5,43658.0,909.0,135.0,473.0,909.0
BL011,Boric Acid,0.5,5.0,4.0,12408687.5,39185.0,1394.0,135.0,520.6,1394.0
BL011,Boric Acid,0.05,5.0,1.0,15130295.0,40707.0,983.0,135.0,439.8,996.0
BL011,Boric Acid,0.05,5.0,2.0,15626345.0,41786.0,991.0,135.0,450.2,994.0
BL011,Boric Acid,0.05,5.0,3.0,12135350.0,38890.0,1336.0,135.0,534.4,1350.0
BL011,Boric Acid,0.05,5.0,4.0,12324007.5,38288.0,1313.0,135.0,513.4,1313.0
BL011,DEET,500.0,1.0,1.0,2612.5,4.0,0.0,505.0,-0.2,2.0
BL011,DEET,500.0,1.0,2.0,2755.0,10.0,1.0,0.0,-0.4,2.0
BL011,DEET,500.0,1.0,3.0,2785.0,11.0,0.0,0.0,-0.6,3.0
BL011,DEET,500.0,1.0,4.0,6465.0,72.0,1.0,0.0,-1.0,2.0
BL011,DEET,50.0,1.0,1.0,2735.0,5.0,1.0,5.0,0.2,2.0
BL011,DEET,50.0,1.0,2.0,2892.5,16.0,0.0,0.0,-1.0,1.0
