strain,chemical,concentration,experiment,replicate,peak_to_baseline_ratio,fold_change,max_derivative,min_derivative,signal_decay_rate,auc_early,auc_mid,auc_late
BL011,Boric Acid,50.0,1.0,4.0,3.5018590998043053,-0.8636986301369863,479.6,-355.2,-26.357088122605365,8876680.0,1281820.0,1937677.5
BL011,Boric Acid,5.0,1.0,1.0,3.2807729262303833,-0.8630297854168891,409.6,-268.4,-22.73976833976834,7964500.0,1843032.5,3469897.5
BL011,Boric Acid,5.0,1.0,2.0,3.3054056913149266,-0.8619485877499207,403.4,-256.6,-22.26096654275093,7914020.0,1212527.5,1707902.5
BL011,Boric Acid,5.0,1.0,3.0,3.727116827438371,-0.882529474812433,419.4,-266.8,-25.806896551724137,8717420.0,2062170.0,3780320.0
BL011,Boric Acid,5.0,1.0,4.0,3.576150020721094,-0.8629299627020307,461.8,-305.0,-25.4360153256705,8680442.5,1430622.5,1856227.5
BL011,Boric Acid,0.5,1.0,1.0,3.239640218438805,-0.8644394474783167,450.2,-229.4,-21.31544117647059,7809342.5,1776857.5,3366337.5
BL011,Boric Acid,0.5,1.0,2.0,3.68649449618967,-0.8942633361558001,452.6,-239.6,-26.225581395348836,9103777.5,2206937.5,3292097.5
BL011,Boric Acid,0.5,1.0,3.0,3.466631962519521,-0.8781884435190005,472.8,-275.0,-24.618390804597702,8462110.0,1372187.5,1649465.0
BL011,Boric Acid,0.5,1.0,4.0,3.553612935826175,-0.9176351692774128,508.4,-300.4,-26.32030651340996,8936115.0,1551307.5,1296917.5
BL011,Boric Acid,0.05,1.0,1.0,3.280272530195107,-0.8789098792195726,414.4,-239.0,-22.41978021978022,8328547.5,1848110.0,3472952.5
BL011,Boric Acid,0.05,1.0,2.0,3.627882489207118,-0.9132357586606297,515.6,-251.4,-25.770114942528735,8937260.0,2213150.0,3293367.5
BL011,Boric Acid,0.05,1.0,3.0,3.4760921202106787,-0.8761747392337086,456.4,-252.0,-24.873563218390803,8696722.5,1519385.0,1650697.5
BL011,Boric Acid,0.05,1.0,4.0,3.4485765838011226,-0.9033680834001604,514.4,-360.4,-25.62375478927203,8751022.5,1484867.5,1399820.0
BL011,Boric Acid,500.0,2.0,1.0,3.0425630349294472,-0.8746241036317373,629.8,-337.2,-27.81838235294118,8935782.5,809267.5,1803342.5
BL011,Boric Acid,500.0,2.0,2.0,3.331745671732063,-0.925757919407273,661.8,-419.2,-32.518490566037734,10954110.0,2411555.0,2885127.5
BL011,Boric Acid,500.0,2.0,3.0,3.270444978953698,-0.9246091401082381,613.2,-521.4,-32.08075471698113,10966415.0,2439317.5,2833730.0
BL011,Boric Acid,500.0,2.0,4.0,3.0424915877611705,-0.8722122231786524,583.8,-298.8,-27.187591240875914,8649022.5,994390.0,1872142.5
